reward,arrived,dist
324.0,False,-1
35.0,False,-1
1431.0,True,0
870.0,True,0
115.0,False,-1
81.0,True,0
-68.0,True,0
479.0,True,0
-53.0,True,0
148.0,True,0
-11.0,True,0
-27.0,True,0
-92.0,True,0
-39.0,True,0
249.0,True,0
446.0,True,0
126.0,False,4
-56.0,True,0
335.0,True,0
416.0,False,23
-10.0,True,0
211.0,False,40
-37.0,True,0
566.0,False,7
-73.0,True,0
-88.0,True,0
-70.0,True,0
-50.0,True,0
-15.0,True,0
-118.0,True,0
-22.0,True,0
-98.0,True,0
-21.0,True,0
-59.0,True,0
-102.0,True,0
-88.0,True,0
-83.0,True,0
-50.0,True,0
-63.0,True,0
-12.0,True,0
-58.0,True,0
-40.0,True,0
-44.0,True,0
195.0,True,0
136.0,False,21
139.0,False,12
-31.0,True,0
298.0,False,52
90.0,False,27
-26.0,True,0
250.0,False,11
101.0,True,0
-43.0,False,46
197.0,False,33
-245.0,False,56
176.0,False,45
39.0,False,-1
177.0,False,16
49.0,False,-1
52.0,True,0
-6.0,False,47
37.0,False,-1
0.0,False,53
-32.0,False,22
38.0,False,49
39.0,False,45
45.0,False,-1
-5.0,False,-1
-14.0,False,72
103.0,False,15
-65.0,False,49
-5.0,True,0
-10.0,True,0
35.0,False,49
192.0,True,0
-5.0,True,0
205.0,False,10
63.0,False,11
36.0,False,29
38.0,False,-1
-9.0,False,11
-30.0,False,65
41.0,False,53
42.0,False,21
38.0,False,28
43.0,False,-1
184.0,False,11
42.0,False,83
29.0,False,21
38.0,False,-1
-12.0,True,0
129.0,True,0
0.0,False,14
28.0,False,30
42.0,False,82
37.0,False,40
33.0,False,15
40.0,False,23
34.0,False,15
41.0,False,61
45.0,False,37
32.0,False,64
30.0,False,24
71.0,False,59
40.0,False,56
42.0,False,68
49.0,False,93
30.0,False,20
-28.0,False,33
15.0,False,-1
7.0,False,65
51.0,False,24
38.0,False,-1
53.0,False,14
51.0,False,16
126.0,False,2
52.0,False,49
38.0,False,-1
392.0,False,-1
43.0,False,31
-11.0,True,0
56.0,False,24
40.0,False,32
47.0,False,24
51.0,False,-1
22.0,False,60
74.0,False,41
34.0,False,-1
-5.0,True,0
22.0,False,-1
37.0,False,17
4.0,True,0
43.0,False,18
22.0,True,0
93.0,False,-1
-20.0,False,18
122.0,True,0
43.0,False,66
43.0,False,12
120.0,False,-1
36.0,False,65
0.0,True,0
40.0,False,95
42.0,False,70
35.0,False,46
-48.0,False,22
40.0,False,22
40.0,False,46
32.0,False,28
123.0,False,64
56.0,False,24
41.0,False,54
-8.0,False,6
34.0,False,72
-3.0,False,25
-18.0,True,0
48.0,False,42
72.0,False,78
37.0,False,5
91.0,False,51
44.0,False,49
37.0,False,-1
-7.0,True,0
176.0,False,-1
135.0,True,0
5.0,False,30
49.0,False,31
44.0,False,6
38.0,False,22
35.0,False,-1
43.0,False,44
19.0,False,-1
32.0,False,39
37.0,False,45
38.0,False,46
31.0,False,-1
42.0,False,29
8.0,False,38
35.0,False,-1
37.0,False,51
58.0,False,62
27.0,False,39
32.0,False,102
-18.0,False,84
-3.0,False,35
51.0,False,51
42.0,False,83
4.0,False,20
10.0,False,65
40.0,False,39
30.0,False,45
33.0,False,-1
211.0,False,-1
34.0,False,51
28.0,False,18
42.0,False,104
50.0,False,21
98.0,True,0
36.0,False,-1
92.0,False,-1
29.0,False,39
39.0,False,-1
33.0,False,32
34.0,False,61
22.0,False,30
64.0,False,17
35.0,False,-1
101.0,True,0
35.0,False,45
37.0,False,36
41.0,False,64
11.0,False,50
39.0,False,23
34.0,False,34
35.0,False,25
45.0,False,36
-5.0,True,0
38.0,False,47
37.0,False,40
33.0,False,23
24.0,False,37
54.0,False,54
50.0,False,42
36.0,False,42
48.0,False,-1
40.0,False,55
-7.0,False,23
26.0,False,35
35.0,False,39
39.0,False,89
-3.0,True,0
37.0,False,44
0.0,False,-1
42.0,False,30
-16.0,True,0
39.0,False,31
40.0,False,42
44.0,False,47
44.0,False,18
36.0,False,17
-30.0,False,-1
32.0,False,21
38.0,False,54
37.0,False,26
43.0,False,17
28.0,False,31
39.0,False,10
51.0,False,-1
35.0,False,19
35.0,False,32
33.0,False,35
18.0,False,71
46.0,False,58
158.0,False,-1
39.0,False,-1
49.0,False,68
69.0,False,19
-6.0,True,0
110.0,False,57
38.0,False,-1
20.0,False,38
34.0,False,30
120.0,True,0
160.0,True,0
35.0,False,19
43.0,False,82
49.0,False,48
84.0,False,48
46.0,False,41
47.0,False,54
32.0,False,43
38.0,False,64
42.0,False,77
34.0,False,30
26.0,False,10
-9.0,False,32
68.0,False,90
33.0,False,22
35.0,False,-1
5.0,False,31
102.0,True,0
-13.0,True,0
41.0,False,21
45.0,False,46
33.0,False,28
47.0,False,5
53.0,False,40
0.0,True,0
17.0,False,84
4.0,False,16
39.0,False,68
39.0,False,15
30.0,False,16
112.0,False,19
30.0,False,9
32.0,False,25
16.0,False,86
33.0,False,-1
35.0,False,55
35.0,False,41
1.0,False,71
38.0,False,72
24.0,False,20
26.0,False,45
37.0,False,-1
76.0,False,31
34.0,False,29
13.0,False,10
37.0,False,74
75.0,False,54
41.0,False,48
30.0,False,59
25.0,False,12
33.0,False,42
31.0,False,44
37.0,False,32
38.0,False,38
42.0,False,32
23.0,False,4
41.0,False,66
-4.0,False,32
30.0,False,30
31.0,False,44
28.0,False,28
51.0,False,55
38.0,False,-1
-24.0,False,17
38.0,False,28
77.0,False,14
36.0,False,10
40.0,False,49
28.0,False,11
41.0,False,-1
38.0,False,51
60.0,False,42
38.0,False,45
28.0,False,-1
94.0,True,0
47.0,False,71
34.0,False,43
85.0,False,22
38.0,False,6
39.0,False,21
36.0,False,17
-14.0,False,8
25.0,False,28
84.0,False,-1
-8.0,True,0
38.0,False,42
42.0,False,58
33.0,False,25
11.0,False,-1
61.0,False,33
42.0,False,-1
36.0,False,27
83.0,False,14
34.0,False,19
42.0,False,58
34.0,False,12
48.0,False,57
41.0,False,25
39.0,False,29
30.0,False,40
39.0,False,39
63.0,False,39
37.0,False,-1
-11.0,True,0
45.0,False,-1
27.0,False,-1
54.0,False,55
67.0,False,26
48.0,False,8
39.0,False,62
52.0,False,15
21.0,False,41
72.0,False,30
-16.0,False,25
15.0,False,38
37.0,False,22
30.0,False,3
33.0,False,106
31.0,False,25
31.0,False,30
10.0,False,26
46.0,False,33
51.0,False,56
37.0,False,39
34.0,False,21
38.0,False,40
22.0,False,37
42.0,False,74
-15.0,True,0
35.0,False,55
56.0,False,28
46.0,False,-1
39.0,False,44
36.0,False,7
37.0,False,21
53.0,False,35
37.0,False,36
-2.0,False,53
-12.0,False,-1
36.0,False,13
41.0,False,43
35.0,False,45
34.0,False,33
30.0,False,29
107.0,True,0
51.0,False,43
56.0,False,10
40.0,False,34
32.0,False,38
32.0,False,-1
-4.0,False,16
24.0,False,45
41.0,False,44
-6.0,False,3
-11.0,True,0
31.0,False,-1
36.0,False,19
40.0,False,-1
31.0,False,15
37.0,False,31
28.0,False,-1
35.0,False,28
4.0,False,28
38.0,False,48
43.0,False,24
63.0,False,39
102.0,False,23
-3.0,False,60
37.0,False,43
37.0,False,-1
39.0,False,25
26.0,False,26
14.0,False,25
33.0,False,41
41.0,False,31
21.0,False,3
36.0,False,53
36.0,False,5
72.0,False,46
28.0,False,33
25.0,False,11
37.0,False,97
65.0,False,20
33.0,False,12
25.0,False,7
70.0,False,28
-40.0,False,62
24.0,False,11
38.0,False,43
126.0,True,0
38.0,False,49
-3.0,False,25
-19.0,True,0
37.0,False,83
49.0,False,24
35.0,False,43
29.0,False,-1
-4.0,False,37
30.0,False,17
39.0,False,48
42.0,False,25
39.0,False,18
37.0,False,-1
39.0,False,57
37.0,False,54
38.0,False,39
53.0,False,74
-13.0,True,0
57.0,False,49
33.0,False,-1
133.0,True,0
9.0,False,6
32.0,False,8
30.0,False,30
-15.0,False,20
39.0,False,35
44.0,False,20
34.0,False,-1
14.0,False,31
40.0,False,84
41.0,False,31
35.0,False,59
60.0,False,39
48.0,False,72
37.0,False,53
33.0,False,105
33.0,False,41
37.0,False,18
39.0,False,52
33.0,False,24
38.0,False,40
-20.0,False,14
38.0,False,28
112.0,False,2
75.0,False,15
17.0,False,26
1.0,False,69
-44.0,False,32
35.0,False,42
38.0,False,20
78.0,False,37
45.0,False,38
31.0,False,96
40.0,False,57
77.0,False,37
25.0,True,0
62.0,False,48
42.0,False,64
28.0,False,44
30.0,False,43
-10.0,True,0
67.0,False,82
67.0,False,-1
36.0,False,49
-5.0,False,24
31.0,False,37
70.0,False,36
26.0,False,38
32.0,False,54
32.0,False,67
46.0,False,41
57.0,False,67
30.0,False,-1
31.0,False,14
30.0,False,14
33.0,False,25
40.0,False,-1
97.0,True,0
38.0,False,-1
-15.0,False,20
35.0,False,18
38.0,False,39
37.0,False,48
34.0,False,30
34.0,False,38
33.0,False,39
29.0,False,-1
24.0,False,31
32.0,False,11
74.0,False,75
-17.0,False,43
-14.0,True,0
29.0,False,25
46.0,False,33
40.0,False,13
85.0,False,5
35.0,False,20
87.0,False,-1
55.0,False,88
52.0,False,75
48.0,False,42
35.0,False,33
-15.0,False,12
63.0,True,0
36.0,False,19
22.0,False,-1
32.0,False,-1
12.0,False,-1
17.0,False,32
30.0,False,8
32.0,False,-1
39.0,False,91
36.0,False,10
36.0,False,33
36.0,False,23
38.0,False,52
41.0,True,0
34.0,False,7
53.0,False,70
33.0,False,24
26.0,False,81
32.0,False,45
13.0,False,71
25.0,True,0
-18.0,False,30
31.0,False,14
104.0,False,33
29.0,False,-1
36.0,False,31
88.0,False,66
-25.0,False,28
47.0,False,25
39.0,False,22
44.0,False,1
33.0,False,14
35.0,False,38
81.0,False,47
32.0,False,29
34.0,False,49
38.0,False,50
34.0,False,39
40.0,False,73
52.0,False,76
41.0,False,58
40.0,False,75
45.0,False,19
12.0,False,59
38.0,False,45
32.0,False,38
38.0,False,45
42.0,False,58
47.0,False,85
39.0,False,45
38.0,False,42
38.0,False,-1
40.0,False,-1
-2.0,False,59
22.0,False,41
11.0,False,15
39.0,False,3
39.0,False,31
40.0,False,48
33.0,False,62
54.0,False,65
4.0,False,-1
37.0,False,23
41.0,False,58
74.0,False,42
63.0,False,29
29.0,False,20
44.0,False,25
92.0,False,1
70.0,False,14
27.0,False,12
31.0,False,33
17.0,False,70
36.0,False,7
46.0,False,11
32.0,False,14
53.0,False,18
35.0,False,37
74.0,False,26
39.0,False,6
28.0,False,1
32.0,False,32
33.0,False,-1
41.0,False,-1
19.0,False,14
22.0,False,31
44.0,False,56
39.0,False,37
32.0,False,41
41.0,False,76
-44.0,False,40
36.0,False,54
49.0,False,72
35.0,False,82
16.0,False,67
44.0,False,-1
10.0,False,60
-4.0,False,-1
30.0,False,33
77.0,False,34
29.0,False,11
37.0,False,17
51.0,False,26
43.0,False,63
35.0,False,38
28.0,False,23
54.0,False,51
71.0,False,63
41.0,False,53
35.0,False,55
36.0,False,-1
43.0,False,68
39.0,False,15
-1.0,False,31
29.0,False,15
36.0,False,22
80.0,False,7
17.0,False,39
28.0,False,-1
35.0,False,10
83.0,False,88
41.0,False,56
17.0,False,-1
32.0,False,-1
-2.0,True,0
24.0,False,20
32.0,False,31
6.0,False,17
33.0,False,9
-11.0,True,0
48.0,False,1
41.0,False,26
26.0,False,22
49.0,False,47
37.0,False,12
37.0,False,19
50.0,False,61
51.0,False,-1
23.0,False,30
18.0,False,2
30.0,False,17
-2.0,False,5
37.0,False,24
36.0,False,13
-3.0,False,67
3.0,False,5
34.0,False,12
-17.0,True,0
36.0,False,58
26.0,False,96
42.0,False,83
8.0,False,54
43.0,False,79
29.0,False,49
28.0,False,36
39.0,False,13
32.0,False,34
7.0,False,1
46.0,False,2
62.0,False,67
38.0,False,40
29.0,False,24
40.0,False,51
-19.0,False,8
61.0,False,-1
-18.0,False,10
76.0,False,42
81.0,False,2
40.0,False,18
51.0,False,52
19.0,False,-1
0.0,False,97
8.0,False,42
41.0,False,38
30.0,False,2
41.0,False,54
45.0,False,90
46.0,False,43
-6.0,False,41
-4.0,True,0
30.0,False,30
38.0,False,-1
34.0,False,42
42.0,False,70
31.0,False,25
-45.0,False,63
34.0,False,63
28.0,False,58
40.0,False,57
16.0,False,55
30.0,False,-1
37.0,False,46
-5.0,True,0
45.0,False,48
36.0,False,-1
32.0,False,-1
38.0,False,63
29.0,False,-1
19.0,False,29
43.0,False,17
56.0,False,55
38.0,False,18
40.0,False,40
42.0,False,72
36.0,False,-1
-4.0,False,25
13.0,False,-1
56.0,False,48
32.0,False,35
33.0,False,35
25.0,False,7
37.0,False,-1
11.0,False,42
101.0,False,38
78.0,False,56
38.0,False,9
48.0,False,6
46.0,False,58
75.0,False,9
32.0,False,41
-14.0,False,60
46.0,False,4
9.0,False,-1
52.0,False,35
-12.0,False,28
35.0,False,30
37.0,False,20
38.0,False,52
42.0,False,74
38.0,False,54
67.0,False,52
40.0,False,57
55.0,False,35
38.0,False,-1
-6.0,True,0
28.0,True,0
33.0,False,-1
53.0,False,24
110.0,False,55
33.0,False,43
34.0,False,62
34.0,False,37
43.0,False,79
